M HIP_ID Dist RA_J2000 DEC_J2000 V_MAG Parallax PM_RA PM_DEC CCDM Sp_Type HIP_ID_STR FLUX_J FLUX_H FLUX_K
M 10559 N/A 02:15:56.29 +33:21:32.0 5.25 11.13 -14.86 -33.25 -------- A0V hip10559 5.195000171661377 5.21999979019165 5.228000164031982
M 11149 N/A 02:23:26.39 +60:55:04.5 8.97 4.35 16.93 -11.04 -------- A0V hip11149 8.562000274658203 8.520999908447266 8.52400016784668
M 11209 N/A 02:24:17.73 +63:02:32.0 7.63 5.51 19.78 -18.5 -------- A0V hip11209 7.247000217437744 7.270999908447266 7.228000164031982
M 11345 N/A 02:25:57.00 -12:17:25.7 4.88 6.17 -11.71 -11.37 -------- A0V hip11345 5.076000213623047 4.864999771118164 4.810999870300293
M 11479 N/A 02:28:04.39 -64:17:59.1 6.35 8.47 34.24 6.15 -------- A0V hip11479 6.361000061035156 6.385000228881836 6.410999774932861
M 12027 N/A 02:35:05.83 -62:23:57.8 8.22 5.72 8.98 21.26 -------- A0V hip12027 8.194000244140625 8.274999618530273 8.223999977111816
M 12221 N/A 02:37:22.22 -81:09:07.6 9.02 -0.07 6.24 11.91 -------- A0V hip12221 "" "" ""
M 12547 N/A 02:41:26.88 +61:43:11.2 9.77 4.01 0.94 0.12 -------- A0V hip12547 8.885000228881836 8.817000389099121 8.76200008392334
M 12640 N/A 02:42:21.94 +20:00:41.3 5.74 9.64 27.49 -46.08 02424+2001 A0V hip12640 5.686999797821045 5.775000095367432 5.7220001220703125
M 12858 N/A 02:45:18.38 -20:24:05.9 7.13 9.47 1.2 3.7 -------- A0V hip12858 7.033999919891357 7.051000118255615 7.02400016784668
M 12906 N/A 02:45:54.83 +65:43:35.0 8.35 3.99 13.02 -8.88 -------- A0V hip12906 7.8979997634887695 7.821000099182129 7.767000198364258
M 13121 N/A 02:48:45.90 +25:11:17.0 5.89 7.08 54.17 -3.92 -------- A0V hip13121 5.892000198364258 5.9120001792907715 5.908999919891357
